,add-trailing-comma,isort,pre-commit-hooks,pydocstyle,codespell,yamllint,flake8,mypy,pylint,pyupgrade,black,blacken-docs,autoflake,pyproject-flake8,pygrep-hooks,Changelog,yesqa,pre-commit-hooks-markup,licenseheaders,prettier,tools/git_hooks/spec_linter.py,bandit,commitizen,yapf,seed-isort-config,docformatter,mdformat,cspell-cli,check-jsonschema,doc8,python3.9,pip-tools,find-trailing-comma,doctoc,flynt,docker/lint.sh,reorder_python_imports,pip-compile-multi,commitlint-pre-commit-hook,nbstripout,setup-cfg-fmt,autopep8,changelog,./generate_schema.py,markdownlint-cli,cfn-python-lint,unify,clang-format,rstcheck,(?i)(doi:|dx\.doi\.org|http://doi\.org),pytest,teyit,prospector,scripts/run-isort,./tests/build-workflows.py,tests/build-init-files.py,cppcheck,./scripts/format,darker,check-manifest,pre-commit-pytype,markdownlint,absolufy-imports,language-formatters-pre-commit-hooks,black_nbconvert,django-upgrade,pre-commit-hooks-trbs,eslint,pre-commit-hooks-safety,scripts/find_localised_strings.py,./pre-commit,pre-commit-cpp,scripts/check_doc_requirements.py,jupytext,shellcheck-py,circleci-cli-py,bash,ufmt,pyright,make,dockerfilelint-precommit-hooks,jshint,shfmt,ggshield,pre-commit-stylelint,pre-commit,vulture,curlylint,./script/run-pre-commit.sh,python-typing-update,script/run-in-env.sh,git-hooks,gitlint,beautysh,dvc,\]\]\(,http:,"\S+\s{2,}",sphinx-lint,pycln,tox-ini-fmt,nbQA,darglint,fix-byte-order-marker,ci/check_embedded_chart_code.py,chartpress,hadolint,bashate,check_requirements,./frontend/node_modules/eslint/bin/eslint.js,slotscheck,rst-lint,sphinx-build,ci/requirements.py,pep585-upgrade,./scripts/check-torchdist.py,tools.create_reqs_all,import-linter,interrogate,flake8-nb,codemods,pre-commit-rust,nixpkgs-fmt,.dev_scripts/github/update_model_index.py,.dev/md2yml.py,custom_pre_commit/check_doc.py,detect-secrets,./.copyright.hook,./tools/codestyle/copyright.hook,.hooks/copyright.hook,reorder-python-imports,cpplint,flake8-rst,hadolint-py,tools.static_word_checks,docstrfmt,shellcheck-precommit,check-pipfile-lock,scripts.check_pre_commit_rev_in_example,blackdoc,cff-converter-python,pyroma,copyright_notice_precommit,black-disable-checker,pydocstringformatter,madforhooks,scripts/check_all_tests_are_covered.py,PyBind|Numpy|Cmake|Github|PyTest,NEWS,pre-commit-jupyter,shed,pre-commit-hook-yamlfmt,actionlint,pre-commit-xenon,blue,./ci/format.py,sh,pip-tools-compile-impersonate,.pre-commit-hooks/check-changelog-entries.py,pre-commit-remove-import-headers,salt-rewrite,invoke-pre-commit,nox,relint,nbqa,conventional-pre-commit,zimports,./virtualenv/bin/python,./pre-commit.sh,pre-commit-alex,pre-commit-buf,tox,rm_unneeded_f_str,found,scripts/check_migrate/check_migrate.py,./scripts/validate_filenames.py,poetry,lint,jupyter,djhtml,pyproject-fmt,tryceratops,detect-secrets-hook,paasta_tools/contrib/mock_patch_checker.py,./scripts/ci/pre_commit/pre_commit_replace_bad_characters.py,pre-commit-mirrors-pydocstyle,pre-commit-hooks-lxml,./tests/check_sql_statements.py,.github/utils/pydoc-markdown.sh,nonemoji,tests/check-debug.sh,editorconfig-checker.python,djLint,./scripts/flake8_line_length.py,wily,./misc/pin_github_actions.py,sync_with_poetry,.github/utils/pydoc-markdown.py,.pre-commit-hooks/sort-coins-file.py,pre-commit-populate-pylint-requirements,flake8-markdown,custom_pre_commit/check_reserved_args.py,autoflake8,pre-commit-buildifier,!NVIDIA-INTERNAL,./scripts/run_in_subdirectory.py,WIP,pipenv-setup,scripts/run-autoflake,tools/manage_clvm.py,validate-pyproject,refurb,pyright-python,.copyright.hook,cython-lint,cfn-lint,setup.py,selfdrive/ui/tests/test_translations.py,.pfnci/generate.py,pre-commit-dbt,fiximports,ruff,protolint,doctest,pre-commit-renovate,tools/format_docs_code.py,auto-walrus,buildutils.constants,src/ansiblelint/schemas/__main__.py,./ci/clean_notebooks.py,Flake8-pyproject,ci/license.py,dev/black.sh,gitleaks,.github/hooks/pre-commit.sh,semgrep,./scripts/ci/pre_commit/pre_commit_update_common_sql_api_stubs.py,-m,pre-commit-hooks-bandit,clean_notebook,check-json5,check:fix-byte-order-marker,website/next-lint.js,flakeheaven,sort-all,bin/build_js_bundle.py,cargo,scripts.autotyping,.dev_scripts/check_metafile.py,scripts/check_commit_message,python-tools-scripts,reuse-tool,pip,pre-commit-django-check-migrations,./scripts/check-license.py,head_of_apache,tools/generate_pyproject.toml.py,Cannot,black-nb,merge-issue-number-hook,flake8-dunder-all,./scripts/check-torchcuda.py,markdownlint-cli2,.dev/update_model_index.py,cmake-format-precommit,pyscript-prettier-precommit,pre-commit-terraform,docs/abstractions.py,cblack,nb-clean,removestar,python,cpp,sourcery,dev:fmt,licenses/update_license.py,tools/chialispp.py,manage-mypy.py,golangci-lint,tools/codeformat.py,nerfstudio/scripts/licensing/license_headers.sh,./scripts/make_check.sh,./tools/assert-license-headers,conventional-precommit-linter,unasyncd,trufflehog,.dev_scripts/update_model_index.py,vermin,lint-py,lint-js,pdm,buf,./tools/typings,./tools/mypy,pyink,tools/pypi_readme.py,typos,pre-commit-clojure,./tools/assert-model-table-latest.py,python3,cercis,./scripts/check-import-linter-config.sh,pyre,dev/ruff.py,./tools/update_dataset_suffix.py,toml-sort,numpydoc,tools/generate_requirements.py,lint-hook,nexus/scripts/pre-commit-hooks/run-go-generate.sh,scripts/lint-pre-commit.sh,scripts/static-pre-commit.sh,scripts/build-docs-pre-commit.sh,git,cookie,tools/check_for_datafiles.py,tools/verifygitlog.py,ansible-lint,StyLua,luacheck,./utils/linting/check_file_header.py,pydoclint,deptry,ssort,lint-imports,PyBind|Numpy|Cmake|CCache|Github|PyTest,rpmlint,./strip_whitespace.sh,airbyte-ci,hacking,ci/lint/check-docstyle.sh,ci/lint/check_import_order.py,core/scripts/pre-commit-hooks/run-go-generate.sh
2022-06-01,11,323,400,24,69,19,364,127,36,172,397,37,26,5.0,37,1,29,5,2.0,45,1.0,21,5,51,9,32,23,1,8,11,1.0,2,1.0,4,4,1,37,8,3,9,20,12,2,1.0,5,2.0,1.0,5,5,1,4,1,1.0,1.0,1.0,1.0,1,1,3,9,1.0,6.0,6,6,1.0,3,1.0,12,1.0,1.0,1.0,2,1.0,3,10,1,15,10,8,5,1,1,1,1,4,6,3,1,1.0,1,1,1,6,3,1,1.0,1.0,1.0,3,12,4,8,3,1.0,1,1,1,1,1.0,1.0,2,3,1,1,1.0,1,1,2,4,1.0,1.0,1,1,1.0,1.0,1.0,2,5,1.0,1.0,1.0,1,1.0,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,3,1.0,1,1,1,1,1,1.0,1,1,2,1,1,1,1,1,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,14,326,421,25,72,17,380,125,42,179,417,39,21,5.0,35,1,27,4,2.0,43,1.0,21,5,52,9,33,24,1,8,12,1.0,2,1.0,4,5,1,41,10,3,10,18,14,2,1.0,6,2.0,0.0,5,5,1,5,2,2.0,1.0,0.0,1.0,1,1,3,8,1.0,5.0,7,6,1.0,3,1.0,12,1.0,1.0,1.0,2,1.0,3,9,1,15,10,9,5,1,1,1,1,4,5,3,1,0.0,1,1,1,6,3,1,1.0,0.0,0.0,3,12,3,8,3,1.0,1,1,1,1,1.0,1.0,2,4,1,1,1.0,1,1,2,4,1.0,1.0,2,1,0.0,1.0,1.0,2,5,1.0,1.0,0.0,1,0.0,1,1,1,1,1.0,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,2,3,1.0,1,1,1,1,1,0.0,1,1,2,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,13,326,414,24,74,16,382,125,41,183,410,42,20,5.0,38,1,32,4,2.0,46,1.0,20,4,53,10,37,27,1,9,11,1.0,2,1.0,4,5,1,36,10,3,13,19,12,2,1.0,7,1.0,1.0,7,5,1,4,1,1.0,1.0,0.0,1.0,1,1,3,9,1.0,3.0,8,7,0.0,6,1.0,12,1.0,1.0,0.0,2,1.0,3,10,1,12,11,9,6,1,1,1,1,4,4,3,1,0.0,1,1,1,6,3,1,1.0,0.0,0.0,4,15,3,8,3,1.0,1,1,1,1,1.0,1.0,2,4,1,1,1.0,1,1,2,4,1.0,1.0,1,1,1.0,1.0,1.0,2,4,1.0,1.0,1.0,1,0.0,1,1,1,2,1.0,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,2,2,1.0,1,1,1,1,1,0.0,1,1,2,1,1,1,1,1,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,12,326,416,23,74,16,375,125,41,183,405,36,18,4.0,31,1,30,3,2.0,49,1.0,19,5,54,9,34,27,1,9,10,1.0,2,1.0,4,5,1,36,9,4,12,19,14,2,1.0,5,2.0,1.0,7,5,1,4,1,1.0,0.0,0.0,1.0,1,1,2,9,1.0,3.0,8,6,1.0,5,1.0,12,1.0,1.0,0.0,2,1.0,4,11,1,14,10,9,6,1,1,1,1,4,5,3,1,0.0,1,1,1,4,3,1,0.0,0.0,0.0,3,14,4,10,3,1.0,1,1,1,1,1.0,1.0,2,4,1,1,1.0,1,1,2,4,1.0,1.0,1,1,1.0,1.0,1.0,2,3,1.0,1.0,0.0,1,0.0,1,1,1,2,1.0,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,3,1.0,1,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,14,349,442,28,77,15,386,133,43,202,426,40,26,5.0,38,1,35,3,2.0,54,1.0,19,7,54,7,36,30,1,9,9,1.0,2,0.0,4,5,1,33,7,4,12,19,14,2,1.0,8,0.0,1.0,6,5,1,4,2,0.0,0.0,0.0,1.0,1,1,3,5,1.0,3.0,8,7,1.0,5,1.0,11,1.0,1.0,1.0,2,0.0,4,11,1,15,11,8,5,1,1,1,1,4,3,3,1,0.0,1,1,1,4,3,1,1.0,0.0,0.0,4,15,4,11,3,1.0,1,1,1,1,0.0,1.0,2,4,1,1,0.0,1,1,2,4,1.0,1.0,2,1,1.0,1.0,1.0,2,5,1.0,1.0,1.0,1,0.0,2,1,1,2,1.0,1,1,1,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,2,3,1.0,1,1,1,1,1,0.0,1,1,7,1,1,1,2,1,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,13,349,449,27,81,16,391,133,43,200,436,40,33,4.0,35,1,32,3,2.0,54,1.0,20,7,56,8,36,30,1,9,10,0.0,2,1.0,4,6,1,37,8,3,12,15,13,2,1.0,9,1.0,0.0,7,5,1,4,1,2.0,0.0,0.0,1.0,1,1,3,8,1.0,3.0,9,7,0.0,7,0.0,12,1.0,1.0,1.0,2,1.0,4,11,1,14,10,7,6,1,1,1,1,4,4,3,1,0.0,1,1,2,4,3,1,1.0,0.0,0.0,2,15,3,9,4,1.0,1,1,1,1,0.0,1.0,2,5,1,1,0.0,1,1,2,4,1.0,1.0,2,1,1.0,1.0,0.0,2,4,1.0,1.0,0.0,1,0.0,2,1,1,3,1.0,1,3,1,2,1,2,2,2,1,1,2,1,1,1,3,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,2,3,1.0,1,1,1,1,1,0.0,1,1,5,1,1,1,3,1,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,15,358,459,29,84,20,393,135,43,207,437,39,39,4.0,35,1,33,5,2.0,61,1.0,23,7,53,6,36,30,1,9,8,0.0,3,0.0,3,6,1,39,8,4,13,15,15,2,1.0,12,1.0,0.0,7,4,1,5,2,3.0,0.0,0.0,1.0,1,1,4,8,1.0,4.0,9,6,1.0,7,1.0,12,1.0,1.0,1.0,2,1.0,4,12,1,13,11,8,5,1,1,1,1,4,5,3,1,0.0,1,1,2,4,3,1,1.0,0.0,0.0,4,19,5,11,4,0.0,1,1,2,1,0.0,1.0,2,5,1,1,0.0,1,1,1,4,1.0,1.0,2,1,1.0,1.0,0.0,2,4,1.0,1.0,0.0,1,0.0,3,1,1,3,1.0,1,3,1,4,1,2,2,2,1,1,2,1,1,2,3,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,3,3,1.0,1,1,1,1,1,1.0,1,1,5,1,1,1,3,1,1.0,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,11,352,462,29,81,21,383,136,43,197,450,38,38,3.0,35,1,31,5,2.0,60,1.0,25,6,51,6,31,29,1,11,8,0.0,3,0.0,4,6,1,35,10,5,12,16,11,2,1.0,9,1.0,0.0,6,6,1,4,2,2.0,0.0,0.0,1.0,1,1,3,8,0.0,5.0,10,7,0.0,8,0.0,11,1.0,1.0,0.0,2,1.0,4,13,1,15,11,7,3,1,1,1,1,4,4,3,1,0.0,1,1,2,5,3,1,0.0,0.0,0.0,5,18,4,9,4,0.0,1,1,2,1,0.0,0.0,2,3,1,1,0.0,1,1,1,4,1.0,1.0,2,1,0.0,1.0,0.0,2,4,0.0,1.0,0.0,1,0.0,3,1,1,3,1.0,1,3,1,4,1,2,2,2,1,1,2,1,1,1,4,1,1,0.0,2,1,1.0,1,1,1.0,1,1,1.0,2,3,1.0,1,1,1,1,2,0.0,1,1,7,1,1,2,3,1,0.0,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,40.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,14,348,476,25,90,23,372,135,39,190,458,42,34,5.0,38,1,26,5,2.0,62,1.0,24,7,58,11,32,32,1,12,10,0.0,3,0.0,4,6,1,35,9,4,12,16,12,2,1.0,10,1.0,1.0,6,8,1,5,2,2.0,0.0,0.0,1.0,1,1,3,7,0.0,3.0,9,8,0.0,7,0.0,13,0.0,0.0,0.0,2,1.0,4,14,1,14,12,6,4,1,1,1,1,4,5,3,2,0.0,1,1,2,6,3,1,1.0,0.0,0.0,5,13,4,9,4,0.0,1,1,2,1,0.0,1.0,2,5,1,1,0.0,1,1,2,4,1.0,1.0,2,1,1.0,1.0,0.0,2,4,1.0,1.0,0.0,1,0.0,3,1,1,3,1.0,1,3,1,4,1,2,2,2,1,1,2,1,1,1,5,1,1,1.0,2,1,0.0,1,1,1.0,1,1,1.0,3,3,1.0,1,1,1,1,2,0.0,1,1,6,1,1,2,7,1,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,67.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,14,336,480,23,91,24,355,136,33,175,465,43,31,3.0,36,1,24,4,2.0,65,1.0,23,8,54,4,30,28,1,13,10,0.0,3,1.0,4,7,1,31,6,3,16,18,16,2,1.0,9,1.0,1.0,7,8,1,4,2,2.0,0.0,0.0,1.0,1,1,1,7,0.0,2.0,10,6,0.0,8,0.0,12,1.0,0.0,0.0,2,1.0,4,14,1,13,11,7,6,1,1,1,1,4,4,3,2,0.0,1,1,2,8,3,1,0.0,0.0,0.0,4,14,6,10,5,0.0,1,1,2,1,0.0,1.0,2,5,1,1,1.0,1,1,1,4,1.0,1.0,2,1,0.0,0.0,0.0,2,5,1.0,1.0,0.0,1,0.0,3,1,1,3,0.0,1,4,1,3,1,2,3,2,1,1,2,1,1,1,5,1,1,1.0,2,1,0.0,1,1,1.0,1,1,1.0,3,3,1.0,1,1,1,1,2,0.0,1,1,8,1,1,2,10,1,1.0,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,90.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
